region,time_window,lower,upper,coef
PreSMA-L,10,50,60,-1.0650134597637673
PreSMA-L,10,60,70,-1.1121165689431969
PreSMA-L,10,200,210,-0.1448717565803725
PreSMA-L,10,210,220,-2.1788838936320354
PreSMA-L,10,220,230,-1.1999303893372708
PreSMA-L,10,230,240,-0.0356451361961678
PreSMA-L,10,240,250,-0.5695260675328241
PreSMA-L,10,250,260,-1.2994954178474498
PreSMA-L,10,260,270,-1.341931958005173
PreSMA-L,10,270,280,-1.2247878473974187
PreSMA-L,10,280,290,-0.8828564231841733
PreSMA-L,10,400,410,-1.7156258142652623
PreSMA-L,10,410,420,-1.524617268096469
PreSMA-L,10,760,770,-0.02291605446272735
PreSMA-L,10,910,920,-0.748443358550841
PreSMA-L,20,200,220,-0.29224112080502224
PreSMA-L,20,220,240,-0.042513757544399636
PreSMA-L,20,240,260,-0.3547773453314421
PreSMA-L,20,260,280,-0.4161281256401455
PreSMA-L,20,280,300,-0.06166284389742029
PreSMA-L,20,400,420,-0.41280397743846314
PreSMA-L,40,40,80,-0.9589198506759049
PreSMA-L,40,200,240,-0.7871262026909304
PreSMA-L,40,240,280,-0.8797210218331237
PreSMA-L,40,280,320,-2.7999905327869186e-4
PreSMA-L,40,400,440,-0.4456320852736131
PreSMA-R,10,50,60,-0.9915160692172347
PreSMA-R,10,90,100,-2.339034090358792
PreSMA-R,10,170,180,-0.11537459329515302
PreSMA-R,10,190,200,-3.553357577463881e-4
PreSMA-R,10,200,210,-0.4013053636419413
PreSMA-R,10,210,220,-0.7707165953960892
PreSMA-R,10,220,230,-0.8141693492417805
PreSMA-R,10,230,240,-0.5509056633512366
PreSMA-R,20,40,60,-0.037736703158188466
PreSMA-R,20,80,100,-0.40828332549069757
PreSMA-R,20,160,180,-0.04514600587201464
PreSMA-R,20,180,200,-0.004242656332115308
PreSMA-R,20,200,220,-0.22118200941556326
PreSMA-R,20,220,240,-0.1860319002353456
PreSMA-R,20,240,260,-0.007320775942360933
PreSMA-R,40,80,120,-0.082218770642704
PreSMA-R,40,160,200,-0.01260994296523272
PreSMA-R,40,200,240,-0.12199146266127878
SMA-R,10,180,190,0.8489005028406065
SMA-R,10,190,200,0.5200701807384561
SMA-R,10,200,210,0.07997424277510055
SMA-R,10,210,220,0.6457512720197873
SMA-R,10,220,230,1.334512526827709
SMA-R,10,230,240,1.9301432322169623
SMA-R,10,240,250,2.013391249478259
SMA-R,10,250,260,1.7813303683943436
SMA-R,10,260,270,0.028146328228320024
SMA-R,10,870,880,-0.9802476004301104
SMA-R,20,180,200,0.14379163207380988
SMA-R,20,200,220,0.06686200013318547
SMA-R,20,220,240,0.5972793108081224
SMA-R,20,240,260,0.6391912437873537
SMA-R,40,160,200,0.007797454181015151
SMA-R,40,200,240,0.4541953960782141
SMA-R,40,240,280,0.15220960594371832
